TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,Minivan,Panel Truck,Pickup,Sports Car,Van,z_SUV,Clerical,Doctor,Home Maker,Lawyer,Manager,Professional,Student,z_Blue Collar
0,0,60.0,0,11.0,67349.0,0,0.0,0,0,4,14,0,14230.0,11,1,4461.0,2,0,3,18.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,43.0,0,11.0,91449.0,0,257252.0,0,0,1,22,1,14940.0,1,1,0.0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,35.0,1,10.0,16039.0,0,124191.0,1,1,1,5,0,4010.0,4,0,38690.0,2,0,3,10.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,51.0,0,14.0,,0,306251.0,1,0,0,32,0,15440.0,7,1,0.0,0,0,0,6.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,50.0,0,,114986.0,0,243925.0,1,1,4,36,0,18000.0,1,0,19217.0,2,1,3,17.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,34.0,1,12.0,125301.0,1,0.0,0,1,2,46,1,17430.0,1,0,0.0,0,0,0,7.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,54.0,0,,18755.0,0,,1,1,0,33,0,8780.0,1,0,0.0,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,37.0,2,,107961.0,0,333680.0,1,0,2,44,1,16970.0,1,1,2374.0,1,1,10,7.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,34.0,0,10.0,62978.0,0,0.0,0,1,2,34,0,11200.0,1,0,0.0,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,50.0,0,7.0,106952.0,0,0.0,0,0,2,48,1,18510.0,7,0,0.0,0,0,1,17.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,53.0,0,14.0,77100.0,0,0.0,0,1,3,15,0,18300.0,1,0,0.0,0,0,0,11.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,43.0,0,5.0,52642.0,0,209970.0,1,1,3,36,0,22420.0,7,0,0.0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,55.0,0,11.0,59162.0,0,180232.0,1,0,2,25,1,17600.0,7,1,5028.0,2,1,3,9.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,53.0,0,11.0,130795.0,0,0.0,0,0,4,64,1,28340.0,6,1,0.0,0,0,3,10.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,45.0,0,0.0,0.0,0,106859.0,1,1,0,48,0,6000.0,1,0,0.0,0,0,3,5.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,39.0,3,12.0,51884.0,1,180951.0,0,1,2,43,0,10590.0,6,0,0.0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,42.0,0,11.0,59945.0,0,192207.0,1,0,3,42,0,14190.0,6,0,0.0,0,0,0,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,34.0,3,13.0,34019.0,0,91875.0,1,1,3,27,0,8300.0,7,0,0.0,0,0,0,20.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,31.0,2,12.0,18903.0,0,93797.0,1,1,0,48,0,17330.0,4,0,0.0,0,0,0,7.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,28.0,1,13.0,44077.0,0,170598.0,1,1,1,29,1,8710.0,6,0,8935.0,2,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,43.0,0,13.0,37214.0,0,,1,0,0,52,1,26560.0,1,1,0.0,0,0,3,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,48.0,0,14.0,96274.0,0,282904.0,1,1,3,36,0,11130.0,6,0,8250.0,1,0,5,14.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,47.0,0,11.0,46281.0,0,0.0,0,1,0,29,0,19700.0,10,0,0.0,0,0,1,5.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,44.0,2,0.0,0.0,0,82344.0,1,1,1,8,0,5900.0,6,0,3338.0,3,0,0,11.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,33.0,1,13.0,79606.0,0,225962.0,1,1,2,27,0,16830.0,9,0,0.0,0,0,2,15.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,32.0,1,9.0,31275.0,0,118160.0,1,1,1,26,0,10030.0,1,0,0.0,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,44.0,2,17.0,45488.0,0,219378.0,1,0,2,16,0,22090.0,17,0,0.0,0,0,0,12.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,35.0,0,8.0,72193.0,0,0.0,0,1,2,26,0,12220.0,6,0,0.0,0,0,3,12.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,40.0,2,0.0,,0,98777.0,1,1,3,15,0,14130.0,6,0,38127.0,2,1,4,12.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,49.0,0,5.0,49244.0,0,163444.0,1,0,2,30,0,15880.0,1,0,0.0,0,0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,52.0,0,8.0,51278.0,0,230340.0,1,1,2,37,0,1500.0,4,0,0.0,0,0,1,10.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,41.0,0,7.0,92842.0,0,286113.0,0,0,3,12,1,25810.0,6,0,1431.0,2,0,5,15.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,39.0,0,10.0,35081.0,0,202839.0,1,0,2,38,1,16640.0,4,1,0.0,0,0,0,13.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,56.0,0,0.0,0.0,0,63827.0,1,1,4,65,0,13220.0,1,0,0.0,0,0,0,12.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,49.0,0,12.0,115044.0,0,311980.0,0,1,4,18,0,17900.0,1,0,0.0,0,0,0,14.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,38.0,0,11.0,37754.0,0,138823.0,1,1,1,47,0,12080.0,1,0,0.0,0,0,2,9.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,43.0,2,17.0,145353.0,0,418785.0,1,1,3,38,1,29450.0,6,0,0.0,0,0,0,15.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,63.0,0,15.0,121398.0,0,343410.0,1,1,4,10,0,16270.0,1,0,0.0,0,0,0,11.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,52.0,0,0.0,0.0,0,87925.0,0,1,1,48,1,9280.0,1,0,0.0,0,0,1,6.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,35.0,0,7.0,14508.0,0,0.0,1,0,2,22,1,6450.0,1,0,0.0,0,0,0,7.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,43.0,0,13.0,75338.0,0,270555.0,1,1,2,40,0,23080.0,1,0,0.0,0,0,0,8.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,41.0,0,10.0,32774.0,0,0.0,0,1,1,44,0,20120.0,4,0,0.0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,40.0,0,11.0,57474.0,0,186418.0,1,0,2,5,1,29270.0,4,1,0.0,0,0,1,5.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,31.0,1,12.0,26520.0,0,154493.0,1,0,2,62,1,4600.0,6,1,0.0,0,0,2,5.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
